PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Title,FamilySize,IsAlone,AgeGroup,FarePerPerson,Deck,CabinKnown,TicketFrequency,NameLength,TitleGroup,FareLevel,Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_O,Embarked_Q,Embarked_S,TitleGroup_Common,TitleGroup_Military,TitleGroup_Noble,TitleGroup_Professional,AgeGroup_Niño,AgeGroup_Adolescente,AgeGroup_Adulto Joven,AgeGroup_Adulto,AgeGroup_Mayor,FareLevel_Muy bajo,FareLevel_Bajo,FareLevel_Medio,FareLevel_Alto,FareLevel_Muy alto,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_UK,Sex_LE,Embarked_LE,TitleGroup_LE,AgeGroup_LE,Deck_LE,TitleGroup_PF,AgeGroup_ordinal,FareLevel_ordinal,Pclass_ordinal
1,0,3,"Braund, Mr. Owen Harris",male,-0.5348708087957197,1.3736364246936756,0.0,A/5 21171,-0.9293552124060972,S,Mr,0.8366964171969096,0,Adulto Joven,-1.40143752894366,UK,0,-0.7758032132758159,-0.2704552509764831,Common,Muy bajo,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,8,Common,3,1,1
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,0.7284724955119514,1.3736364246936756,0.0,PC 17599,1.3852161716244564,C,Mrs,0.8366964171969096,0,Adulto,1.287873425840469,C,1,-0.7758032132758159,1.9383881739828464,Common,Alto,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,Common,4,4,3
3,1,3,"Heikkinen, Miss. Laina",female,-0.873629353576102,-0.6798499588222058,0.0,STON/O2. 3101282,-0.8366299228018967,S,Miss,-0.7910074553829461,1,Adolescente,-0.448393823556636,UK,0,-0.7758032132758159,-0.42803249688767725,Common,Bajo,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,8,Common,2,2,1
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,0.5003684649227577,1.3736364246936756,0.0,113803,1.103871987370028,S,Mrs,0.8366964171969096,0,Adulto Joven,0.9683465720421839,C,1,0.942683994968509,1.6064940148132687,Common,Alto,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,2,2,Common,3,4,3
5,0,3,"Allen, Mr. William Henry",male,0.5003684649227577,-0.6798499588222058,0.0,373450,-0.8203050712727828,S,Mr,-0.7910074553829461,1,Adulto Joven,-0.4292993976243932,UK,0,-0.7758032132758159,-0.12342892883925309,Common,Bajo,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,8,Common,3,2,1
6,0,3,"Moran, Mr. James",male,-0.12639025616755545,-0.6798499588222058,0.0,330877,-0.7686572042820863,Q,Mr,-0.7910074553829461,1,Adulto Joven,-0.36899986711612165,UK,0,-0.7758032132758159,-1.6846989603572866,Common,Bajo,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,8,Common,3,2,1
7,0,1,"McCarthy, Mr. Timothy J",male,1.8963168993320858,-0.6798499588222058,0.0,17463,1.0810583853897933,S,Mr,-0.7910074553829461,1,Adulto,1.6775572870211533,E,1,-0.7758032132758159,-0.2704552509764831,Common,Alto,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,0,1,4,Common,4,4,3
8,0,3,"Palsson, Master. Gosta Leonard",male,-2.202348925734057,1.7188893139379924,0.0,349909,0.18128202877258856,S,Master,1.6675115068640607,0,Niño,-1.2197642969879052,UK,0,1.6161124467673484,0.5889389962929908,Common,Medio,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4,8,Common,1,3,1
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,-0.12639025616755545,-0.6798499588222058,0.0,347742,-0.48129496017358103,S,Mrs,1.3430273068253449,0,Adulto Joven,-1.3732985554054167,UK,0,1.4254798398680424,1.8514732936105935,Common,Bajo,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,8,Common,3,2,1
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,-1.2259887319312561,1.3736364246936756,0.0,237736,0.5426672175594603,C,Mrs,0.8366964171969096,0,Adolescente,0.3201144054802278,UK,0,0.942683994968509,1.0276044452143656,Common,Medio,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,Common,2,3,2
